ORF	gene_name	TR_galactose
YAL001C	TFC3	0.077220
YAL002W	VPS8	0.033010
YAL003W	EFB1	0.306184
YAL004W		0.092710
YAL005C	SSA1	0.258050
YAL007C	ERP2	0.019998
YAL008W	FUN14	0.018737
YAL009W	SPO7	
YAL010C	MDM10	
YAL011W	SWC3	0.081262
YAL012W	CYS3	
YAL013W	DEP1	0.084953
YAL014C	SYN8	0.033894
YAL015C	NTG1	
YAL016C-A		
YAL016C-B		
YAL016W	TPD3	0.059016
YAL017W	PSK1	0.093883
YAL018C		
YAL019W	FUN30	0.062064
YAL019W-A		
YAL020C	ATS1	0.019939
YAL021C	CCR4	0.046356
YAL022C	FUN26	
YAL023C	PMT2	0.032851
YAL024C	LTE1	0.041509
YAL025C	MAK16	
YAL026C	DRS2	
YAL026C-A		
YAL027W		0.031006
YAL028W	FRT2	
YAL029C	MYO4	0.072935
YAL030W	SNC1	0.049863
YAL031C	GIP4	0.028340
YAL031W-A		
YAL032C	PRP45	
YAL033W	POP5	0.018068
YAL034C	FUN19	0.043273
YAL034C-B		
YAL034W-A	MTW1	0.159706
YAL035W	FUN12	0.245828
YAL036C	RBG1	0.053593
YAL037C-A		
YAL037C-B		
YAL037W		0.016595
YAL038W	CDC19	
YAL039C	CYC3	
YAL040C	CLN3	0.076177
YAL041W	CDC24	0.041583
YAL042C-A		
YAL042W	ERV46	0.063624
YAL043C	PTA1	
YAL044C	GCV3	0.017757
YAL044W-A		
YAL045C		0.021899
YAL046C		0.027372
YAL047C	SPC72	0.015424
YAL047W-A		
YAL048C	GEM1	0.020928
YAL049C		0.049774
YAL051W	OAF1	0.042518
YAL053W	FLC2	0.048760
YAL054C	ACS1	0.028740
YAL055W	PEX22	0.042822
YAL056C-A		
YAL056W	GPB2	
YAL058W	CNE1	
YAL059C-A		
YAL059W	ECM1	0.061533
YAL060W	BDH1	
YAL061W		0.221848
YAL062W	GDH3	0.073988
YAL063C	FLO9	
YAL063C-A		
YAL064C-A		
YAL064W		
YAL064W-B		0.060603
YAL065C		0.055579
YAL066W		
YAL067C	SEO1	
YAL067W-A		
YAL068C		
YAL068W-A		
YAL069W		
YAR002C-A	ERP1	0.034850
YAR002W	NUP60	0.068755
YAR003W	SWD1	0.038906
YAR007C	RFA1	0.015979
YAR008W	SEN34	0.013793
YAR014C	BUD14	
YAR015W	ADE1	0.025678
YAR018C	KIN3	0.040717
YAR019C	CDC15	0.022522
YAR019W-A		
YAR020C	PAU7	
YAR023C		
YAR027W	UIP3	
YAR028W		0.034639
YAR029W		0.179587
YAR030C		
YAR031W	PRM9	0.026965
YAR033W	MST28	0.025033
YAR035C-A		
YAR035W	YAT1	
YAR042W	SWH1	0.030480
YAR047C		
YAR050W	FLO1	0.059737
YAR053W		
